num_contributors,total_contributions,top1_contribution_share,top5_contribution_share,contribution_gini,median_contributions,top1_contribution_ratio,top3_contribution_ratio,contribution_entropy,contributors_to_stars_ratio,num_deployments,has_deployments,num_unique_refs,tag_based_deployment_ratio,deployment_recency_days,num_tags,stable_tag_ratio,prerelease_tag_ratio,latest_tag_is_stable,latest_tag_is_prerelease,semver_tag_ratio,num_major_versions,num_minor_versions,tag_release_velocity,num_events,num_unique_event_types,dominant_event_ratio,event_type_entropy,has_IssuesEvent,has_PullRequestEvent,has_IssueCommentEvent,recent_event_density,IssuesEvent_ratio,IssueCommentEvent_ratio,PullRequestEvent_ratio,PushEvent_ratio,WatchEvent_ratio,ForkEvent_ratio,interaction_ratio,development_ratio,external_interest_event_ratio,stargazers_count,subscribers_count,subscribers_to_stars_ratio,forks_count,network_count,forks_to_stars_ratio,open_issues_to_stars_ratio,stars_per_repo_age_day,forks_per_repo_age_day,stars_per_size,forks_per_size,primary_language_ratio,top2_ratio,top3_ratio,language_entropy,minor_lang_ratio,infra_ratio,markup_ratio,is_monolingual,compiled_ratio,repo_age_days,last_update_recency_days,last_push_recency_days,update_push_gap_days,repo_size,open_issues_count,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,archived,disabled,allow_forking,has_pull_requests,issues_per_size,is_recently_pushed_30d,is_recently_updated_90d,is_recently_pushed_90d,is_stale_365d,push_update_consistency,freshness_score,bus_factor_risk,distributed_contribution_score,contributor_depth_score,release_maturity_score,active_release_score,release_recency_score,release_quality_score,collaboration_event_score,activity_diversity_score,healthy_activity_score,non_external_activity_ratio,adoption_efficiency,issue_burden_score,fork_interest_efficiency,governance_openness_score,negative_repo_state,maintainer_activity_score,new_label
30.0,3139.0,0.1739407454603377,0.4759477540618031,0.4753849421259424,61.5,0.1739407454603377,0.3395985982797069,3.005781709355469,0.0042832667047401,30.0,1.0,2.0,0.0,24.29212150964121,30.0,1.0,0.0,1.0,0.0,1.0,1.0,24.0,0.011096138301409,30.0,8.0,0.3666666666666666,1.8142845474298257,0.0,1.0,1.0,14.47858655033152,0.0,0.1,0.1,0.3666666666666666,0.1666666666666666,0.1,0.1,0.4666666666666667,0.2666666666666666,7004.0,85.0,0.012135922330097,1315.0,1315.0,0.1877498572244431,0.0494003426613363,2.590578422102302,0.4863807288784304,0.0275280920956958,0.0051683953606282,0.7633377969745438,0.8898457211131463,0.9392831103940716,0.8942621792905575,0.2366622030254561,0.0123590293696183,0.0035852111111136,0.0,0.1539338815341452,2703.6433022021065,1.189633220625,1.4573531280324077,0.2677199074074074,254431.0,346.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0013598971823402,1,1,1,0,0.7888177776154696,0.43181970593274466,0.32466284379314003,2.4829537981391305,14.200109044268151,1.0,0.038103996946236056,0.03953800394398729,0.46442306921784055,0.2,14.514276379438606,0.25555555555555554,0.7333333333333334,1.12036859966666,39.07670792425518,0.9088024536755724,0.6,0.0,0.9296059258718232,1
19.0,9800.0,0.8021428571428572,0.9975510204081632,0.9239634801288936,2.0,0.8021428571428572,0.996734693877551,0.5290171191188624,0.0004209127159946,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075207365652732,30.0,6.0,0.4666666666666667,1.2441992157783022,1.0,1.0,1.0,24.062830724669972,0.0333333333333333,0.4666666666666667,0.0333333333333333,0.0333333333333333,0.3666666666666666,0.0,0.5,0.0666666666666666,0.3666666666666666,45140.0,470.0,0.0104120513956579,2603.0,2603.0,0.0576650420912716,0.0012184315463003,11.316201618547806,0.652549242646875,2.3581652909831785,0.1359837007627207,0.8722712057052666,0.9446486441265316,0.9728688278377317,0.5414809066291425,0.1277287942947334,0.0303015660490913,0.0,0.0,0.8722712057052666,3988.9709922613424,0.0566404094907407,0.3245455020833333,0.2679050925925926,19142.0,55.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0028732629819245,1,1,1,0,0.7887025660218902,0.8506858538679246,0.8630531686358753,0.10466981571137492,3.29114828928607,0.0,0.025826113133451737,1.0,0.41325060201885994,0.5333333333333333,7.4651952946698135,0.3666666666666667,0.6333333333333334,1.2925491859364884,5.131771671512058,0.9485049860388491,0.8,0.0,0.9295675220072966,0
30.0,3551.0,0.443537031822022,0.8132920304139679,0.7792828311273818,21.5,0.443537031822022,0.6662911855815263,2.058244224295334,0.0005246681473967,30.0,1.0,1.0,0.0,0.7882787756712962,30.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0223460997138938,30.0,7.0,0.3333333333333333,1.6364321738896372,0.0,1.0,1.0,12.361163437280926,0.0,0.3333333333333333,0.1333333333333333,0.2333333333333333,0.2,0.0333333333333333,0.3333333333333333,0.3666666666666666,0.2333333333333333,57179.0,256.0,0.0044771681911191,11006.0,11006.0,0.1924832543416289,0.0056839049301316,42.59092118469123,8.198039115037194,1.0379951348800058,0.1997966815524815,0.9962462274696876,0.9977398851232268,0.9990584701437843,0.0287696227746389,0.0037537725303124,0.0024351875097548,0.0013185850205575,1.0,0.0,1342.516160851007,0.0641006658217592,0.0823182584143518,0.0182175925925925,55086.0,325.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0058998656645971,1,1,1,0,0.9821083501943757,0.9318516813862159,0.6114099314747019,1.1453366902865616,10.691771732797038,1.0,0.07673622048766049,0.5591969292509291,0.7571876759115025,0.4666666666666666,11.45502521722746,0.38888888888888884,0.7666666666666667,1.5205829477048423,29.669636900042224,1.2918598910611778,1.0,0.0,0.9940361167314586,1
30.0,1396.0,0.4749283667621776,0.8030085959885387,0.7672397325692453,8.5,0.4749283667621776,0.7041547277936963,2.0236407713096196,0.0021807080031983,30.0,1.0,30.0,0.0,177.4424654092477,30.0,1.0,0.0,1.0,0.0,1.0,2.0,7.0,0.0163523404443265,30.0,7.0,0.2333333333333333,1.869788616377684,1.0,1.0,1.0,15.18097692397798,0.1,0.2333333333333333,0.1666666666666666,0.2,0.1333333333333333,0.0,0.3333333333333333,0.3666666666666666,0.1333333333333333,13757.0,78.0,0.0056698408083157,749.0,749.0,0.054445009813186,0.0059606018754088,7.498638249753366,0.408263433093354,0.3009494224711235,0.0163851942597129,0.96555125969895,0.9992871354991548,0.9997130242091116,0.1538319289950593,0.03444874030105,0.0,0.0341617645101614,1.0,0.0,1834.5997687862616,0.0150928603356481,0.6138544344097222,0.598761574074074,45712.0,82.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0017938396919845,1,1,1,0,0.6254841348555378,0.8023830590355655,0.6210840496657114,1.0625563648781888,7.730907229977055,1.0,0.05615372784920215,0.0056040472076338815,0.5089654975118941,0.4999999999999999,13.088520314643787,0.3999999999999999,0.8666666666666667,1.2679340955827274,8.60497078976505,0.880835927996241,0.6,0.0,0.8751613782851791,1
30.0,17783.0,0.0969465219591745,0.3073722094134848,0.2529775628409154,506.5,0.0969465219591745,0.216273969521453,3.2926907990277474,0.000676971680018,0.0,0.0,0.0,0.0,0.0,30.0,0.9333333333333332,0.0666666666666666,0.0,1.0,0.9666666666666668,1.0,2.0,0.0123257545569902,30.0,5.0,0.4333333333333333,1.2256518119201014,1.0,1.0,1.0,225.72498476008013,0.1333333333333333,0.3666666666666666,0.4333333333333333,0.0333333333333333,0.0333333333333333,0.0,0.5,0.4666666666666667,0.0333333333333333,44315.0,331.0,0.0074692542028658,4000.0,4000.0,0.0902628906690736,0.0199480988378652,18.207193773100787,1.643433940932035,0.1512756791446771,0.0136545800875258,0.5911157696051501,0.7881876295099083,0.983429096388426,1.0477620188120491,0.4088842303948499,0.0071502736662616,0.0023851023427473,0.0,0.7884457352059506,2433.928069886898,0.0625374794907407,0.0643314609722222,0.0017939814814814,292942.0,884.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0030176621993432,1,1,1,0,0.9982092311247185,0.9403501009792622,0.17496204240004493,2.973475878175032,21.39201199566765,0.0,0.04232648343432883,1.0,0.46430995113314283,0.9333333333333331,6.1282590596005075,0.6333333333333333,0.9666666666666667,1.3720168055206767,82.6237638635741,1.0636331393284217,1.0,0.0,0.9994030770415728,1
30.0,19115.0,0.2290871043682971,0.7255558461940884,0.660721946115616,244.0,0.2290871043682971,0.5543290609469004,2.523717739710509,0.0005806301772857,30.0,1.0,2.0,0.0,0.9334734788194444,30.0,0.7666666666666667,0.2333333333333333,1.0,0.0,1.0,1.0,2.0,0.0064020039832508,30.0,8.0,0.3666666666666666,1.7764971200330195,1.0,1.0,1.0,168.61826697892272,0.2,0.3666666666666666,0.1333333333333333,0.0333333333333333,0.0666666666666666,0.0333333333333333,0.5666666666666667,0.1666666666666666,0.1,51668.0,1267.0,0.0245219478207014,10334.0,10334.0,0.2000077417356971,0.0046450414182859,11.025958060220114,2.205276972097133,0.5360029047149748,0.1072047305358161,0.958922586426056,0.9838201254454146,0.9937187272083188,0.2151680943727728,0.041077413573944,0.0297239784117193,0.0,1.0,0.958922586426056,4686.032698187639,0.0817491135648148,0.0818532802314814,0.0001041666666666,96395.0,240.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0024897556927226,1,1,1,0,0.9998958441828977,0.9243842631947954,0.44490452524195656,1.9455665504773245,18.891250303579447,0.7666666666666667,0.021984399761546185,0.5172038876946934,0.49598618182784965,0.7,14.211976960264156,0.4777777777777777,0.9,1.2839123083108226,22.114489299689794,1.0935223985073983,0.6,0.0,0.9999652813942993,1
30.0,39259.0,0.1310527522351562,0.46723044397463,0.4873319918150403,607.5,0.1310527522351562,0.3333248427112255,2.9888794011654145,0.000568106501032,30.0,1.0,17.0,0.3,0.5427176494212963,30.0,1.0,0.0,1.0,0.0,1.0,1.0,21.0,0.0063028570702929,30.0,8.0,0.3333333333333333,1.7184919967358412,0.0,1.0,1.0,63.60111890857339,0.0,0.1666666666666666,0.2666666666666666,0.3333333333333333,0.0333333333333333,0.0333333333333333,0.1666666666666666,0.6,0.0666666666666666,52807.0,1006.0,0.0190505046679417,11552.0,11552.0,0.2187588766640786,0.0052265798094949,11.094499110365325,2.4270201625341383,0.1129008464303047,0.0246980623395171,0.5983983040186566,0.916511401555412,0.9550757935174444,0.9755646873717,0.4016016959813434,0.0016076181771673,0.0499451349758146,0.0,0.0,4759.746201572234,0.0650325907523148,0.1180534240856481,0.0530208333333333,467729.0,276.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0005900852844275,1,1,1,0,0.9496488277772283,0.9166750230458973,0.30919237202509825,2.5971785295437213,22.0152813652701,1.0,0.021643930531084557,0.6482067540843391,0.6163780213011785,0.43333333333333324,13.74793597388673,0.3999999999999999,0.9333333333333333,1.284121775658904,25.380668708021147,1.1046636745704208,0.4,0.0,0.9832162759257428,1
30.0,11665.0,0.1654522074582083,0.4944706386626661,0.4727789684240604,219.0,0.1654522074582083,0.3951993141877411,2.9914725902098276,0.0017920076458992,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080195134518775,30.0,7.0,0.2666666666666666,1.707539174135071,0.0,1.0,1.0,70.42330054882356,0.0,0.2666666666666666,0.2333333333333333,0.0333333333333333,0.0666666666666666,0.0333333333333333,0.2666666666666666,0.2666666666666666,0.1,16741.0,338.0,0.0201899528104653,4107.0,4107.0,0.2453258467236126,0.1625948270712621,4.4751558232627415,1.097871391562038,0.0731485648619479,0.0179452336113744,0.7114085479352041,0.7887768473020862,0.8389290860787832,1.1929978693286256,0.2885914520647958,0.0164714634897718,9.207919278816504e-05,0.0,0.7332448115616658,3740.8753260849767,0.0238561775694444,0.1442149738657407,0.1203587962962963,228863.0,2722.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0118935782542394,1,1,1,0,0.8925712042479779,0.9253306616659062,0.31911558794113437,2.4965268466088872,18.521647979932627,0.0,0.02753890657994384,1.0,0.41855073267959114,0.4999999999999999,11.952774218945496,0.3444444444444444,0.9,1.182077969409045,279.87772290126037,1.0113133922310027,0.8,0.0,0.9641904014159927,0
30.0,10782.0,0.8104247820441477,0.9140233722871453,0.8904655907994805,24.5,0.8104247820441477,0.871266926358746,0.9933648270188332,0.0008553344357643,30.0,1.0,7.0,0.2,1.7208203455555555,30.0,0.4333333333333333,0.5666666666666667,1.0,0.0,1.0,1.0,2.0,0.007976829430366,30.0,7.0,0.3,1.6443211220184035,0.0,1.0,1.0,173.63344051446944,0.0,0.3,0.2,0.0,0.1333333333333333,0.0333333333333333,0.3,0.2,0.1666666666666666,35074.0,148.0,0.0042196498831042,1442.0,1442.0,0.041113075212408,0.064720305639505,9.325977181355285,0.383419601286261,0.1702034735600836,0.0069975882098888,0.6461163540581764,0.9907936561298604,0.9969786260798456,0.7003381932965999,0.3538836459418236,0.0027071318221042,0.0,0.0,0.3446773020716839,3760.892753334051,0.0611213896064814,0.1749987044212963,0.1138773148148148,206071.0,2270.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.011015620829714,1,1,1,0,0.8977649393696941,0.89673200828181,0.8504451864218141,0.18831735359177282,11.12158036417424,0.4333333333333333,0.02739233019623738,0.3675362107731568,0.3517203427278321,0.5,11.510247854128824,0.3333333333333333,0.8333333333333334,1.2711424743855413,216.9084658127187,0.8835818859238315,0.8,0.0,0.9659216464565646,0
30.0,40706.0,0.1672726379403527,0.4872746032525917,0.4181250921240111,820.5,0.1672726379403527,0.3501203753746376,3.062828409497604,0.001059247228303,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0047396877797588,30.0,2.0,0.7,0.6108643020548935,0.0,0.0,0.0,23.28673590397815,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.7,0.3,28322.0,1239.0,0.0437469105289174,5774.0,5774.0,0.2038697832074006,0.0008827060235859,4.474581243277646,0.9122319080109146,0.0212894544962528,0.0043402764727548,0.6871118975661665,0.931311326218387,0.9697242777897606,0.8682094282821067,0.3128881024338334,0.0028078344937895,0.0001993551225268,0.0,0.6977488079338751,6329.530845397176,0.0802551193981481,8.150828703703704e-05,0.0801736111111111,1330330.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.879232972270038e-05,1,1,1,0,0.9257771063036421,0.9628128760865968,0.2926988650321819,2.550501021882285,23.045941200908732,0.0,0.016276027188946333,1.0,0.3836984669200502,0.0,1.221728604109787,0.2333333333333333,0.7,1.1711506068006756,2.4386842888584566,0.98948924196192,0.6,0.0,0.9752590354345473,0
