mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006512928009033203,0.00029559771187412,0.0015155315399169923,5.065707552802784e-06,0.6553013900933984,l2,"{'model__C': np.float64(0.6553013900933984), 'model__penalty': 'l2'}",0.9917355371900827,0.9880624426078971,0.992653810835629,0.9981060606060607,0.9895833333333334,0.9920282369146005,0.0034386635394772803,1
0.006350040435791016,0.00014477061971222138,0.0015160560607910157,5.654894668721617e-06,0.5414413211338525,l2,"{'model__C': np.float64(0.5414413211338525), 'model__penalty': 'l2'}",0.9917355371900827,0.9880624426078971,0.992653810835629,0.9981060606060607,0.9895833333333334,0.9920282369146005,0.0034386635394772803,1
0.006709623336791992,0.00014750496405631749,0.0015184402465820313,7.556627875634297e-06,1.1219752813215704,l2,"{'model__C': np.float64(1.1219752813215704), 'model__penalty': 'l2'}",0.9908172635445363,0.9889807162534435,0.992653810835629,0.9981060606060607,0.9895833333333334,0.9920282369146005,0.003288241954601931,1
0.006789350509643554,0.00022567809554915788,0.0015329837799072266,1.3886853822605854e-05,1.2357483710912178,l2,"{'model__C': np.float64(1.2357483710912178), 'model__penalty': 'l2'}",0.9908172635445363,0.9889807162534435,0.992653810835629,0.9981060606060607,0.9895833333333334,0.9920282369146005,0.003288241954601931,1
0.006663084030151367,0.000172982562300035,0.0015141487121582032,6.149905460511342e-06,0.9761125443110458,l2,"{'model__C': np.float64(0.9761125443110458), 'model__penalty': 'l2'}",0.9908172635445363,0.9889807162534435,0.992653810835629,0.9981060606060607,0.9895833333333334,0.9920282369146005,0.003288241954601931,1
0.005796051025390625,0.00015992400313055447,0.0015233516693115234,9.1181937993537e-06,0.13359166801651828,l2,"{'model__C': np.float64(0.13359166801651828), 'model__penalty': 'l2'}",0.9935720844811754,0.9834710743801652,0.9908172635445363,0.9981060606060607,0.9914772727272727,0.9914887511478421,0.004751067887329838,6
0.005983972549438476,6.111270478207358e-05,0.0015306472778320312,1.0667732868765399e-05,0.17885301261862016,l2,"{'model__C': np.float64(0.17885301261862016), 'model__penalty': 'l2'}",0.9935720844811754,0.9834710743801652,0.9908172635445363,0.9981060606060607,0.990530303030303,0.9912993572084481,0.004766599858779079,7
0.006221675872802734,0.00020066504207076434,0.0015374183654785155,1.0992725483293946e-05,0.37253938395788866,l2,"{'model__C': np.float64(0.37253938395788866), 'model__penalty': 'l2'}",0.9926538108356291,0.9862258953168044,0.98989898989899,0.9981060606060607,0.9895833333333334,0.9912936179981635,0.003970173124333613,8
0.005534315109252929,1.9570433345664746e-05,0.0015132427215576172,3.7333639394881026e-06,0.0945695189734589,l2,"{'model__C': np.float64(0.0945695189734589), 'model__penalty': 'l2'}",0.9954086317722681,0.9816345270890725,0.9889807162534435,0.9981060606060607,0.9914772727272727,0.9911214416896235,0.005689916870591141,9
0.005519676208496094,8.372850451498211e-05,0.0015138149261474609,6.3252408595239366e-06,0.09022004468565618,l2,"{'model__C': np.float64(0.09022004468565618), 'model__penalty': 'l2'}",0.9954086317722681,0.9816345270890725,0.9889807162534435,0.9981060606060607,0.9914772727272727,0.9911214416896235,0.005689916870591141,9
0.007006978988647461,0.00021260225194774115,0.0015305042266845702,1.1942462545828718e-05,2.0540519425388455,l2,"{'model__C': np.float64(2.0540519425388455), 'model__penalty': 'l2'}",0.9889807162534435,0.9889807162534435,0.9898989898989898,0.9981060606060607,0.9895833333333334,0.9911099632690542,0.003515958450251848,11
0.007516908645629883,0.0003524459980680301,0.0016258716583251952,7.708343671594298e-05,3.4702669886504163,l2,"{'model__C': np.float64(3.4702669886504163), 'model__penalty': 'l2'}",0.9871441689623508,0.9889807162534435,0.9889807162534434,0.9990530303030303,0.9895833333333334,0.9907483930211203,0.004232355321472359,12
0.0074580669403076175,0.00027812553158743005,0.0015091896057128906,7.926117998425523e-06,7.510418138777549,l2,"{'model__C': np.float64(7.510418138777549), 'model__penalty': 'l2'}",0.985307621671258,0.9889807162534435,0.9871441689623507,0.9990530303030303,0.9895833333333334,0.9900137741046832,0.004761158363267067,13
0.00805039405822754,0.0003380622914132264,0.0015154838562011718,4.668622979850507e-06,55.51721685244721,l2,"{'model__C': np.float64(55.51721685244721), 'model__penalty': 'l2'}",0.9834710743801653,0.9880624426078971,0.985307621671258,1.0,0.9895833333333334,0.9892848943985306,0.005762224288969,14
0.00802597999572754,0.0005054151236835024,0.0015844345092773438,3.648305995568516e-05,14.528246637516036,l2,"{'model__C': np.float64(14.528246637516036), 'model__penalty': 'l2'}",0.9834710743801653,0.9880624426078971,0.9862258953168044,1.0,0.9886363636363636,0.989279155188246,0.005654843631362653,15
0.005527973175048828,6.768736632622905e-05,0.0016082763671875,4.4705511682917215e-05,0.04661686413912769,l2,"{'model__C': np.float64(0.04661686413912769), 'model__penalty': 'l2'}",0.9944903581267217,0.9816345270890725,0.9816345270890725,0.9962121212121213,0.9914772727272727,0.9890897612488521,0.006273048730840764,16
0.005310249328613281,0.00013580447836627544,0.0015169143676757812,5.516904947054194e-06,0.04292436152765813,l2,"{'model__C': np.float64(0.04292436152765813), 'model__penalty': 'l2'}",0.9954086317722681,0.9807162534435262,0.977961432506887,0.9962121212121213,0.9914772727272727,0.988355142332415,0.0075843701912661175,17
0.007567358016967773,0.0005008806186057751,0.0015929698944091796,3.9342562202184855e-05,73.92266140516048,l1,"{'model__C': np.float64(73.92266140516048), 'model__penalty': 'l1'}",0.9834710743801652,0.9843893480257117,0.9834710743801653,1.0,0.9895833333333334,0.988182966023875,0.006330856242790607,18
0.007748079299926758,0.0007463846207390066,0.001515340805053711,4.804947762932058e-06,63.95288218539363,l1,"{'model__C': np.float64(63.95288218539363), 'model__penalty': 'l1'}",0.9834710743801652,0.9825528007346189,0.9834710743801653,1.0,0.9886363636363636,0.9876262626262626,0.006548295578725872,19
0.007144546508789063,0.00022949635939090683,0.001543569564819336,1.1539459228515623e-05,1.0907475835157696,l1,"{'model__C': np.float64(1.0907475835157696), 'model__penalty': 'l1'}",0.9862258953168044,0.9825528007346189,0.9797979797979798,0.9943181818181818,0.9886363636363636,0.9863062442607896,0.005021412158004998,20
0.012143945693969727,0.003801674167709495,0.0030661106109619142,0.0014548879906996115,1.1435780278433403,l1,"{'model__C': np.float64(1.1435780278433403), 'model__penalty': 'l1'}",0.9862258953168044,0.9825528007346189,0.9797979797979798,0.9943181818181818,0.9886363636363636,0.9863062442607896,0.005021412158004998,20
0.007188224792480468,0.000386068065327591,0.001580953598022461,3.285369955874935e-05,0.9846738873614566,l1,"{'model__C': np.float64(0.9846738873614566), 'model__penalty': 'l1'}",0.9834710743801653,0.9825528007346189,0.9797979797979798,0.9943181818181818,0.9886363636363636,0.9857552800734618,0.005149501430690414,22
0.009856462478637695,0.0034721200530157567,0.002184152603149414,0.00031626204297619686,0.4206039057901998,l1,"{'model__C': np.float64(0.4206039057901998), 'model__penalty': 'l1'}",0.9788797061524334,0.9816345270890725,0.9752066115702479,0.9914772727272727,0.9867424242424243,0.98278810835629,0.005748454446844694,23
0.005042743682861328,0.00011637605272786093,0.0015332698822021484,1.4449031413626856e-05,0.014271483774997193,l2,"{'model__C': np.float64(0.014271483774997193), 'model__penalty': 'l2'}",0.9926538108356291,0.977961432506887,0.9586776859504131,0.9924242424242424,0.9876893939393939,0.981881313131313,0.0127648552361423,24
0.00634160041809082,0.0002814370952158764,0.0015688896179199218,3.5019006604357785e-05,0.21568228019263963,l1,"{'model__C': np.float64(0.21568228019263963), 'model__penalty': 'l1'}",0.9742883379247016,0.9724517906336088,0.9706152433425161,0.9839015151515152,0.9857954545454546,0.9774104683195592,0.00621213245298856,25
0.019867324829101564,0.029356846788735104,0.00251622200012207,0.0018997956300317,0.008260808399079604,l2,"{'model__C': np.float64(0.008260808399079604), 'model__penalty': 'l2'}",0.98989898989899,0.975206611570248,0.9449035812672177,0.9857954545454546,0.9895833333333334,0.9770775941230487,0.01694373319043703,26
0.00510716438293457,3.681170508013144e-05,0.001623392105102539,7.586987176907545e-05,0.008263688714158009,l2,"{'model__C': np.float64(0.008263688714158009), 'model__penalty': 'l2'}",0.98989898989899,0.975206611570248,0.9449035812672177,0.9857954545454546,0.9895833333333334,0.9770775941230487,0.01694373319043703,26
0.005927753448486328,0.0003328528780459703,0.001538991928100586,7.394820413241779e-06,0.19069966103000435,l1,"{'model__C': np.float64(0.19069966103000435), 'model__penalty': 'l1'}",0.9742883379247016,0.9715335169880625,0.967860422405877,0.9801136363636365,0.9857954545454546,0.9759182736455465,0.006355651325645997,28
0.006242036819458008,0.0005934754617785271,0.001602506637573242,8.544072998831426e-05,0.16949768237884735,l1,"{'model__C': np.float64(0.16949768237884735), 'model__penalty': 'l1'}",0.9742883379247016,0.9687786960514233,0.9660238751147843,0.9791666666666667,0.9810606060606061,0.9738636363636365,0.005786490284234519,29
0.005955028533935547,0.00034901683335753425,0.0015277385711669922,1.0672420951992695e-05,0.15876781526924,l1,"{'model__C': np.float64(0.15876781526924), 'model__penalty': 'l1'}",0.9715335169880626,0.9669421487603307,0.9632690541781451,0.978219696969697,0.9810606060606061,0.9722050045913683,0.006672300333095853,30
0.005439472198486328,0.0004425415535645632,0.00180511474609375,0.0001674002296489493,0.004982752357076452,l2,"{'model__C': np.float64(0.004982752357076452), 'model__penalty': 'l2'}",0.9816345270890727,0.970615243342516,0.9320477502295684,0.9820075757575758,0.9857954545454546,0.9704201101928376,0.019843940156102642,31
0.01106266975402832,0.006051085228952499,0.0033722400665283205,0.0016269407921248114,0.14445251022763064,l1,"{'model__C': np.float64(0.14445251022763064), 'model__penalty': 'l1'}",0.9715335169880626,0.9632690541781451,0.9586776859504132,0.9772727272727273,0.9810606060606061,0.970362718089991,0.008371664682657157,32
0.004948568344116211,0.00015052604903684666,0.0016121387481689454,4.440974688482324e-05,0.0019517224641449498,l2,"{'model__C': np.float64(0.0019517224641449498), 'model__penalty': 'l2'}",0.9687786960514233,0.960514233241506,0.9136822773186409,0.9772727272727273,0.9820075757575757,0.9604511019283745,0.02451254539207123,33
0.004890632629394531,0.00021348012886273268,0.001596212387084961,5.650490145059461e-05,0.0019145111285710716,l2,"{'model__C': np.float64(0.0019145111285710716), 'model__penalty': 'l2'}",0.9687786960514233,0.960514233241506,0.9136822773186409,0.9763257575757576,0.9820075757575757,0.9602617079889807,0.024385170372042048,34
0.004652929306030273,7.995201307193841e-05,0.0015192031860351562,1.1006575047495657e-05,0.0014857392806279248,l2,"{'model__C': np.float64(0.0014857392806279248), 'model__penalty': 'l2'}",0.9641873278236914,0.960514233241506,0.9100091827364554,0.9763257575757576,0.9820075757575757,0.9586088154269973,0.025526718313852552,35
