,repo_name,num_contributors,total_contributions,top1_contribution_share,top5_contribution_share,contribution_gini,median_contributions,num_deployments,has_deployments,num_unique_refs,tag_based_deployment_ratio,deployment_recency_days,num_events,num_unique_event_types,dominant_event_type,dominant_event_ratio,event_type_entropy,has_IssuesEvent,has_PullRequestEvent,has_IssueCommentEvent,recent_event_density,IssuesEvent_ratio,IssueCommentEvent_ratio,PullRequestEvent_ratio,PushEvent_ratio,WatchEvent_ratio,ForkEvent_ratio,stargazers_count,subscribers_count,subscribers_to_stars_ratio,primary_language_ratio,top2_ratio,top3_ratio,language_entropy,minor_lang_ratio,infra_ratio,markup_ratio,is_monolingual,compiled_ratio,num_tags,stable_tag_ratio,prerelease_tag_ratio,latest_tag_is_stable,latest_tag_is_prerelease,semver_tag_ratio,num_major_versions,num_minor_versions,repo_age_days,last_update_recency_days,last_push_recency_days,update_push_gap_days,repo_size,forks_count,open_issues_count,network_count,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,archived,disabled,allow_forking,has_pull_requests,forks_to_stars_ratio,open_issues_to_stars_ratio,stars_per_repo_age_day,forks_per_repo_age_day,top1_contribution_ratio,top3_contribution_ratio,contribution_entropy,contributors_to_stars_ratio,tag_release_velocity,interaction_ratio,development_ratio,external_interest_event_ratio,stars_per_size,forks_per_size,issues_per_size,error,label
342,facebookexperimental/Recoil,30.0,766.0,0.5300261096605744,0.7571801566579635,0.7263707571801565,6.5,30.0,1.0,1.0,0.0,1128.893665563889,4.0,1.0,WatchEvent,1.0,-0.0,0.0,0.0,0.0,0.1732553149677352,0.0,0.0,0.0,0.0,1.0,0.0,19480.0,0.0,0.0,0.9655838027661644,0.9971844730142404,0.9993629932611392,0.1610239431031008,0.0344161972338356,0.0,0.0028155269857597,1.0,0.0,27.0,1.0,0.0,1.0,0.0,1.0,1.0,8.0,2202.367705028507,0.3692906766550926,499.8515128988774,499.4822222222222,49827.0,1218.0,321.0,1218.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0625256673511293,0.0164784394250513,8.845026175568211,0.5530411643656099,0.5300261096605744,0.6775456919060052,2.0537589009013724,0.0015400410677618,0.0122595332002228,0.0,0.0,1.0,0.3909526963292993,0.0244445782407128,0.0064422903245228,,0
343,browserify/browserify,30.0,366.0,0.2540983606557377,0.6229508196721312,0.5825136612021857,4.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,WatchEvent,0.9090909090909092,0.3046360973492381,0.0,0.0,0.0,0.492320443419928,0.0,0.0,0.0,0.0,0.9090909090909092,0.0909090909090909,14717.0,276.0,0.0187538221104844,0.9958207401994974,0.9977027909705848,0.99938003033423,0.0312786960526005,0.0041792598005026,0.0016772393636454,0.0018820507710872,1.0,0.0,30.0,1.0,0.0,1.0,0.0,1.0,6.0,21.0,5714.546424490741,1.5996189351851853,510.8013781944444,509.2017592592592,2516.0,1199.0,378.0,1199.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0814704083712713,0.0256845824556635,2.575357501104016,0.209815427316961,0.2540983606557377,0.546448087431694,2.688536704662938,0.0020384589250526,0.0052497604833267,0.0,0.0,1.0,5.849364069952305,0.4765500794912559,0.1502384737678855,,0
344,mozilla/mozjpeg,30.0,4461.0,0.9132481506388702,0.9827392961219458,0.9443996114473584,2.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,WatchEvent,0.8333333333333334,0.5660857389596289,0.0,0.0,1.0,0.4666144305733263,0.0,0.0833333333333333,0.0,0.0,0.8333333333333334,0.0833333333333333,5674.0,166.0,0.0292562566090941,0.5465507373773146,0.8126764393402813,0.9019420975412324,1.2797946648166276,0.4534492626226853,0.0080490172518466,0.0928119940807447,0.0,0.5981467545279774,30.0,0.3333333333333333,0.0666666666666666,1.0,0.0,0.4,4.0,5.0,4506.946165597176,1.594417911990741,326.50143180087963,324.9070138888889,17382.0,435.0,99.0,435.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.076665491716602,0.0174480084596404,1.25894559007815,0.096517682707789,0.9132481506388702,0.9663752521856086,0.4723552415855144,0.0052872752908001,0.006656391910882,0.0833333333333333,0.0,0.9166666666666666,0.3264296398573236,0.025025888850535,0.0056955471177079,,0
345,substack/node-browserify,30.0,366.0,0.2540983606557377,0.6229508196721312,0.5825136612021857,4.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,WatchEvent,0.9090909090909092,0.3046360973492381,0.0,0.0,0.0,0.492320443419928,0.0,0.0,0.0,0.0,0.9090909090909092,0.0909090909090909,14717.0,276.0,0.0187538221104844,0.9958207401994974,0.9977027909705848,0.99938003033423,0.0312786960526005,0.0041792598005026,0.0016772393636454,0.0018820507710872,1.0,0.0,30.0,1.0,0.0,1.0,0.0,1.0,6.0,21.0,5714.546483977477,1.5996784219212965,510.8014376811806,509.2017592592592,2516.0,1199.0,378.0,1199.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0814704083712713,0.0256845824556635,2.575357474295526,0.2098154251328624,0.2540983606557377,0.546448087431694,2.688536704662938,0.0020384589250526,0.0052497604286787,0.0,0.0,1.0,5.849364069952305,0.4765500794912559,0.1502384737678855,,0
346,Semantic-Org/Semantic-UI,30.0,6437.0,0.8842628553674072,0.975454404225571,0.9373155196520118,5.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,WatchEvent,0.8666666666666667,0.4676524865100599,1.0,0.0,0.0,1.1221148401419268,0.0333333333333333,0.0,0.0,0.0,0.8666666666666667,0.1,51096.0,1272.0,0.0248943165805542,0.629920059337399,0.9933492665238172,1.0,0.6923180684909312,0.3700799406626009,0.0,0.0066507334761826,0.0,0.0,30.0,0.9666666666666668,0.0,1.0,0.0,0.9666666666666668,1.0,5.0,4785.209099466204,1.6018425217592591,534.3134513180555,532.7116087962963,113201.0,4876.0,1071.0,4876.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0954282135587912,0.0209605448567402,10.677903292636543,1.018973235769841,0.8842628553674072,0.9669100512661176,0.5535546218220395,0.0005871301080319,0.0062693185137603,0.0333333333333333,0.0,0.9666666666666668,0.4513741044690418,0.0430738244361798,0.0094610471638943,,0
347,bower/bower,30.0,2444.0,0.542962356792144,0.8784779050736498,0.8281505728314238,11.5,1.0,1.0,1.0,0.0,3468.861083792836,7.0,2.0,WatchEvent,0.8571428571428571,0.410116318288409,0.0,0.0,0.0,0.3677328975017511,0.0,0.0,0.0,0.0,0.8571428571428571,0.1428571428571428,14924.0,695.0,0.0465692843741624,1.0,1.0,1.0,-0.0,0.0,0.0,0.0,1.0,0.0,30.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,4999.179347799561,0.6288732625231481,579.7422413180788,579.1133680555556,4801.0,1808.0,13.0,1808.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1211471455373894,0.0008710801393728,2.9852899768996792,0.3616593593027754,0.542962356792144,0.8236497545008183,1.646331889211209,0.0020101849370142,0.0060009849441832,0.0,0.0,1.0,3.108519058529473,0.3765882107894189,0.0027077692147469,,0
348,torch/cutorch,30.0,951.0,0.4900105152471083,0.7423764458464774,0.7335786890991938,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,35.0,0.1035502958579881,0.5318280126316907,0.7482684499641747,0.9560503078311172,1.169069475085763,0.4681719873683093,0.0005929397871719,0.0,0.0,0.2306162593211793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4592.702590701297,21.500796719814815,3168.3098939420374,3146.809097222222,2106.0,207.0,144.0,207.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6124260355029586,0.4260355029585799,0.0735950115026008,0.0450715011273324,0.4900105152471083,0.6645636172450052,2.1204923327676655,0.0887573964497041,0.0,0.0,0.0,0.0,0.1604938271604938,0.0982905982905982,0.0683760683760683,,0
349,TheAlgorithms/Python,30.0,1386.0,0.1875901875901875,0.5692640692640693,0.5371332371332371,21.0,30.0,1.0,1.0,0.0,32.27166769796296,30.0,4.0,PullRequestEvent,0.5,1.075524390343655,0.0,1.0,1.0,176.83176422431436,0.0,0.0666666666666666,0.5,0.0,0.3666666666666666,0.0666666666666666,221087.0,5976.0,0.0270300831799246,0.9982632509950444,0.999895979612004,1.0,0.0131672432693681,0.0017367490049555,0.0017367490049555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3590.7853599087157,0.0164247235300925,11.433531205011574,11.41710648148148,16593.0,50635.0,975.0,50635.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.229027486916915,0.0044100286312628,61.57065316765527,14.101371962821084,0.1875901875901875,0.455988455988456,2.848047439429132,0.0001356931886542,0.0,0.0666666666666666,0.5,0.4333333333333333,13.32411257759296,3.0515880190441753,0.0587597179533538,,0
350,Snailclimb/JavaGuide,30.0,4950.0,0.8913131313131313,0.927878787878788,0.8916363636363636,12.5,30.0,1.0,30.0,0.0,1897.6315890836113,30.0,6.0,WatchEvent,0.6333333333333333,1.1954757391366169,0.0,1.0,1.0,35.81050275624819,0.0,0.0333333333333333,0.1333333333333333,0.1,0.6333333333333333,0.0666666666666666,155709.0,4446.0,0.0285532628171782,0.5817770984249352,1.0,1.0,0.6797119154682651,0.4182229015750648,0.0,0.0,0.0,0.4182229015750648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2930.6328391791203,0.0304549198611111,0.7989271420833334,0.7684722222222222,180399.0,46135.0,61.0,46135.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.2962898740599451,0.0003917564174196,53.131527741439925,15.742333663123716,0.8913131313131313,0.9113131313131312,0.6899801368474404,0.0001926670905342,0.0,0.0333333333333333,0.2333333333333333,0.7,0.8631367136181465,0.2557386681744356,0.0003381393466704,,0
351,gruntjs/grunt-contrib-uglify,30.0,281.0,0.2028469750889679,0.6156583629893239,0.6217081850533808,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,46.0,0.0312287847929395,1.0,1.0,1.0,-0.0,0.0,0.0,0.0,1.0,0.0,30.0,1.0,0.0,1.0,0.0,1.0,6.0,18.0,4972.642438507569,17.700042674236112,51.32153572979166,33.621493055555554,1165.0,346.0,29.0,346.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2348947725729803,0.0196877121520706,0.2962207756100675,0.0695807117183186,0.2028469750889679,0.4768683274021352,2.652727119507107,0.020366598778004,0.0060330096865594,0.0,0.0,0.0,1.2643776824034334,0.2969957081545064,0.0248927038626609,,0
