,path,key,dtype,example_value,is_github_api_url,fetch_status,error_message,depth
0,fork,fork,bool,False,False,,,0
1,created_at,created_at,str,2010-08-24T01:37:33Z,False,,,0
2,updated_at,updated_at,str,2026-04-03T02:14:17Z,False,,,0
3,pushed_at,pushed_at,str,2026-04-03T00:25:12Z,False,,,0
4,size,size,int,387923,False,,,0
5,stargazers_count,stargazers_count,int,48331,False,,,0
6,forks_count,forks_count,int,19818,False,,,0
7,subscribers_count,subscribers_count,int,1105,False,,,0
8,open_issues_count,open_issues_count,int,3504,False,,,0
9,network_count,network_count,int,19818,False,,,0
10,has_issues,has_issues,bool,True,False,,,0
11,has_projects,has_projects,bool,True,False,,,0
12,has_downloads,has_downloads,bool,True,False,,,0
13,has_wiki,has_wiki,bool,False,False,,,0
14,has_pages,has_pages,bool,False,False,,,0
15,has_discussions,has_discussions,bool,False,False,,,0
16,archived,archived,bool,False,False,,,0
17,disabled,disabled,bool,False,False,,,0
18,allow_forking,allow_forking,bool,True,False,,,0
19,has_pull_requests,has_pull_requests,bool,True,False,,,0
22,contributors_url,contributors_url,str,https://api.github.com/repos/pandas-dev/pandas/contributors,True,,,0
23,contributors_url.__api_fetch__,__api_fetch__,list,https://api.github.com/repos/pandas-dev/pandas/contributors,True,success,,0
24,contributors_url.__api__[0],[0],dict,"{'login': 'jbrockmendel', 'id': 8078968, 'node_id': 'MDQ6VXNlcjgwNzg5Njg=', 'avatar_url': 'https://avatars.githubusercon",False,,,1
25,contributors_url.__api__[1],[1],dict,"{'login': 'jreback', 'id': 953992, 'node_id': 'MDQ6VXNlcjk1Mzk5Mg==', 'avatar_url': 'https://avatars.githubusercontent.c",False,,,1
26,contributors_url.__api__[2],[2],dict,"{'login': 'wesm', 'id': 329591, 'node_id': 'MDQ6VXNlcjMyOTU5MQ==', 'avatar_url': 'https://avatars.githubusercontent.com/",False,,,1
27,contributors_url.__api__[3],[3],dict,"{'login': 'jorisvandenbossche', 'id': 1020496, 'node_id': 'MDQ6VXNlcjEwMjA0OTY=', 'avatar_url': 'https://avatars.githubu",False,,,1
28,contributors_url.__api__[4],[4],dict,"{'login': 'mroeschke', 'id': 10647082, 'node_id': 'MDQ6VXNlcjEwNjQ3MDgy', 'avatar_url': 'https://avatars.githubuserconte",False,,,1
29,contributors_url.__api__[5],[5],dict,"{'login': 'phofl', 'id': 61934744, 'node_id': 'MDQ6VXNlcjYxOTM0NzQ0', 'avatar_url': 'https://avatars.githubusercontent.c",False,,,1
30,contributors_url.__api__[6],[6],dict,"{'login': 'TomAugspurger', 'id': 1312546, 'node_id': 'MDQ6VXNlcjEzMTI1NDY=', 'avatar_url': 'https://avatars.githubuserco",False,,,1
31,contributors_url.__api__[7],[7],dict,"{'login': 'simonjayhawkins', 'id': 13159005, 'node_id': 'MDQ6VXNlcjEzMTU5MDA1', 'avatar_url': 'https://avatars.githubuse",False,,,1
32,contributors_url.__api__[8],[8],dict,"{'login': 'cpcloud', 'id': 417981, 'node_id': 'MDQ6VXNlcjQxNzk4MQ==', 'avatar_url': 'https://avatars.githubusercontent.c",False,,,1
33,contributors_url.__api__[9],[9],dict,"{'login': 'rhshadrach', 'id': 45562402, 'node_id': 'MDQ6VXNlcjQ1NTYyNDAy', 'avatar_url': 'https://avatars.githubusercont",False,,,1
